High,Low,Open,Volume,"_time",stock
"131.23","128.66","129.85",3107181,"1649116800.000000",PWNY
"157.37","143.91","156.85",4437091,"1649116800.000000",NAY
"130.45","128.93","130.26",2811100,"1649030400.000000",PWNY
159,"153.27","154.03",2675686,"1649030400.000000",NAY
"130.27","128.06","129.66",4012373,"1648771200.000000",PWNY
"156.42","149.89","150.98",3290097,"1648771200.000000",NAY
"131.88",130,"130.72",4274029,"1648684800.000000",PWNY
"156.16","148.01","150.73",3879693,"1648684800.000000",NAY
"133.08","131.39","132.01",2622860,"1648598400.000000",PWNY
"158.24","148.54",153,3240411,"1648598400.000000",NAY
"132.84","130.43","132.04",5791032,"1648512000.000000",PWNY
"157.355","148.83","153.96",6686200,"1648512000.000000",NAY
"131.5","129.6","130.82",2483492,"1648425600.000000",PWNY
"151.3237","143.51","146.36",2365941,"1648425600.000000",NAY
"131.4","129.31","129.5",3531746,"1648166400.000000",PWNY
"153.1955","142.03",152,2755731,"1648166400.000000",NAY
"144.2","139.7","143.27",1301558,"1648166400.000000",BCUP
"129.37","127.8","128.33",2971075,"1648080000.000000",PWNY
"152.47","143.75","147.94",2786964,"1648080000.000000",NAY
"142.98","137.7","138.94",1467392,"1648080000.000000",BCUP
"129.32","128.25","129.08",2924535,"1647993600.000000",PWNY
"152.6237","142.02","145.5",2971887,"1647993600.000000",NAY
"142.39","137.6","138.43",1691128,"1647993600.000000",BCUP
"129.3","127.85","128.5",2690193,"1647907200.000000",PWNY
"151.9216","140.49","142.19",4634152,"1647907200.000000",NAY
"139.7","131.64","132.47",2585332,"1647907200.000000",BCUP
"129.74","127.4",129,3384636,"1647820800.000000",PWNY
"145.47","134.6324","142.89",3767416,"1647820800.000000",NAY
"134.63","127.33",128,3090832,"1647820800.000000",BCUP
"128.93","126.37","127.38",7466026,"1647561600.000000",PWNY
"147.945","135.76","136.44",4945930,"1647561600.000000",NAY
"128.07","121.12","121.4",3818732,"1647561600.000000",BCUP
"128.29","126.53","127.1",3671903,"1647475200.000000",PWNY
139,"130.25","131.29",3042618,"1647475200.000000",NAY
"122.25","115.705","116.66",1757592,"1647475200.000000",BCUP
"127.2842","124.71","126.5",4292845,"1647388800.000000",PWNY
"135.5","122.7301","123.96",5704974,"1647388800.000000",NAY
"117.87","112.22","112.25",2472610,"1647388800.000000",BCUP
"125.9398","123.22",124,4021228,"1647302400.000000",PWNY
"121.86","115.54","120.355",3475812,"1647302400.000000",NAY
"113.27","109.0201","110.51",2403522,"1647302400.000000",BCUP
"125.16","122.685","124.45",3289440,"1647216000.000000",PWNY
127,"113.89",127,6698197,"1647216000.000000",NAY
"121.67","109.74","120.02",2906265,"1647216000.000000",BCUP
"126.77","123.91",125,4119630,"1646956800.000000",PWNY
"142.46","126.28","142.43",4354633,"1646956800.000000",NAY
"127.8","122.08","127.8",1901661,"1646956800.000000",BCUP
"126.03","123.125","125.75",5326835,"1646870400.000000",PWNY
"142.53","135.95","139.63",3091661,"1646870400.000000",NAY
"128.955","125.29","126.35",1726490,"1646870400.000000",BCUP
"128.1","125.91","127.41",4403499,"1646784000.000000",PWNY
"130.45","124.26","125.55",1838217,"1646784000.000000",BCUP
"143.615","131.72","133.15",6419730,"1646784000.000000",NAY
"128.345","124.82","126.62",4887565,"1646697600.000000",PWNY
"129.305","123.95","125.16",2513529,"1646697600.000000",BCUP
"132.16","121.15","129.99",6633934,"1646697600.000000",NAY
"127.905","125.62","126.47",5047358,"1646611200.000000",PWNY
"129.94","126.74","127.75",3019088,"1646611200.000000",BCUP
"144.89","128.96","144.44",6761536,"1646611200.000000",NAY
"127.35","124.2103","124.4",4402911,"1646352000.000000",PWNY
"132.09","123.28","123.37",5389514,"1646352000.000000",BCUP
"151.19","140.6",149,3764511,"1646352000.000000",NAY
"126.665","124.2351","124.96",5206649,"1646265600.000000",PWNY
"127.5","118.27",119,7166280,"1646265600.000000",BCUP
"160.69","145.94","159.58",5403542,"1646265600.000000",NAY
"124.64","121.8","122.59",4891435,"1646179200.000000",PWNY
"117.525","113.02","116.8",3851884,"1646179200.000000",BCUP
"165.02","153.62",159,3383663,"1646179200.000000",NAY
"123.39","120.7","122.67",4873331,"1646092800.000000",PWNY
"119.67","116.23","118.68",2072749,"1646092800.000000",BCUP
